shock_type,outcome,dropped,event_time,att,n_groups,n_treated_cells,min_controls
revolutionary rupture,Political + Economic,Canada,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Canada,-3,-0.010368628758474102,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Canada,-2,-0.08331715939215814,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Canada,0,-0.03526225285500232,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Canada,1,0.031824310417530366,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Canada,2,0.0030881628691651966,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Canada,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Canada,-3,0.2568379425964289,2.0,4.0,3.0
revolutionary rupture,Political + Security,Canada,-2,0.11389548450891021,2.0,4.0,4.0
revolutionary rupture,Political + Security,Canada,0,0.2450733639956886,2.0,4.0,6.0
revolutionary rupture,Political + Security,Canada,1,0.12878472900994614,2.0,4.0,6.0
revolutionary rupture,Political + Security,Canada,2,0.22956088854475581,2.0,4.0,6.0
revolutionary rupture,Political + Security,Canada,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,France,-3,-0.10079943229022569,1.0,3.0,12.0
revolutionary rupture,Economic + Security,France,-2,-0.4759096461937866,1.0,3.0,12.0
revolutionary rupture,Economic + Security,France,0,-0.21419545466127307,1.0,3.0,12.0
revolutionary rupture,Economic + Security,France,1,0.7771833085184793,1.0,3.0,12.0
revolutionary rupture,Economic + Security,France,2,-0.09378634411139253,1.0,3.0,12.0
revolutionary rupture,Ideational + Economic,France,-3,-0.04381482533378369,1.0,3.0,12.0
revolutionary rupture,Ideational + Economic,France,-2,-0.009242383575837614,1.0,3.0,12.0
revolutionary rupture,Ideational + Economic,France,0,0.21931579051507052,1.0,3.0,12.0
revolutionary rupture,Ideational + Economic,France,1,0.17969152308045558,1.0,3.0,12.0
revolutionary rupture,Ideational + Economic,France,2,-8.014286637100104e-06,1.0,3.0,12.0
revolutionary rupture,Ideational + Security,France,-3,0.1407021129296196,1.0,3.0,12.0
revolutionary rupture,Ideational + Security,France,-2,0.30624612178847627,1.0,3.0,12.0
revolutionary rupture,Ideational + Security,France,0,-0.5666025332742425,1.0,3.0,12.0
revolutionary rupture,Ideational + Security,France,1,-0.8440052405101216,1.0,3.0,12.0
revolutionary rupture,Ideational + Security,France,2,-0.13544846189169804,1.0,3.0,12.0
revolutionary rupture,Political + Economic,France,-3,0.018153555143688417,1.0,3.0,12.0
revolutionary rupture,Political + Economic,France,-2,0.09550818216336683,1.0,3.0,12.0
revolutionary rupture,Political + Economic,France,0,-0.24632131445830766,1.0,3.0,12.0
revolutionary rupture,Political + Economic,France,1,-0.459586380936013,1.0,3.0,12.0
revolutionary rupture,Political + Economic,France,2,-0.08723908852742583,1.0,3.0,12.0
revolutionary rupture,Political + Ideational,France,-3,0.0016369099414734042,1.0,3.0,12.0
revolutionary rupture,Political + Ideational,France,-2,-0.09985261556411562,1.0,3.0,12.0
revolutionary rupture,Political + Ideational,France,0,-0.018967840040232525,1.0,3.0,12.0
revolutionary rupture,Political + Ideational,France,1,0.12814111351966118,1.0,3.0,12.0
revolutionary rupture,Political + Ideational,France,2,0.030429294332600092,1.0,3.0,12.0
revolutionary rupture,Political + Security,France,-3,0.01752991040577445,1.0,3.0,12.0
revolutionary rupture,Political + Security,France,-2,0.038782383413479865,1.0,3.0,12.0
revolutionary rupture,Political + Security,France,0,0.35626063640031197,1.0,3.0,12.0
revolutionary rupture,Political + Security,France,1,0.06763514453997282,1.0,3.0,12.0
revolutionary rupture,Political + Security,France,2,0.12101161913517083,1.0,3.0,12.0
revolutionary rupture,Economic + Security,Germany,-3,0.3572527123301241,2.0,3.0,2.0
revolutionary rupture,Economic + Security,Germany,-2,-0.06607629841623885,2.0,3.0,3.0
revolutionary rupture,Economic + Security,Germany,0,-0.7421627975045637,2.0,3.0,5.0
revolutionary rupture,Economic + Security,Germany,1,-0.4884315277976805,2.0,3.0,5.0
revolutionary rupture,Economic + Security,Germany,2,-0.4859402939838806,2.0,3.0,5.0
revolutionary rupture,Economic + Security,Germany,3,-0.1680157570306528,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,Germany,-3,-0.27115548296834546,2.0,3.0,2.0
revolutionary rupture,Ideational + Economic,Germany,-2,-0.13723060801282325,2.0,3.0,3.0
revolutionary rupture,Ideational + Economic,Germany,0,0.28880157451051985,2.0,3.0,5.0
revolutionary rupture,Ideational + Economic,Germany,1,0.12891241362734576,2.0,3.0,5.0
revolutionary rupture,Ideational + Economic,Germany,2,-0.16208469093275446,2.0,3.0,5.0
revolutionary rupture,Ideational + Economic,Germany,3,-0.7050626995683134,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,Germany,-3,-0.05821003300272976,2.0,3.0,2.0
revolutionary rupture,Ideational + Security,Germany,-2,0.09123560787948597,2.0,3.0,3.0
revolutionary rupture,Ideational + Security,Germany,0,-0.10426356162305955,2.0,3.0,5.0
revolutionary rupture,Ideational + Security,Germany,1,-0.012896981573595478,2.0,3.0,5.0
revolutionary rupture,Ideational + Security,Germany,2,0.3015346636963719,2.0,3.0,5.0
revolutionary rupture,Ideational + Security,Germany,3,0.49734159581973836,1.0,1.0,5.0
revolutionary rupture,Political + Economic,Germany,-3,-0.503352725106427,2.0,3.0,2.0
revolutionary rupture,Political + Economic,Germany,-2,-0.21729647093397278,2.0,3.0,3.0
revolutionary rupture,Political + Economic,Germany,0,-0.1474617416248131,2.0,3.0,5.0
revolutionary rupture,Political + Economic,Germany,1,-0.12066208586860173,2.0,3.0,5.0
revolutionary rupture,Political + Economic,Germany,2,0.00443866806916036,2.0,3.0,5.0
revolutionary rupture,Political + Economic,Germany,3,0.3266906344542852,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,Germany,-3,0.014140274142059997,2.0,3.0,2.0
revolutionary rupture,Political + Ideational,Germany,-2,-0.04552622673968625,2.0,3.0,3.0
revolutionary rupture,Political + Ideational,Germany,0,-0.07383862380774654,2.0,3.0,5.0
revolutionary rupture,Political + Ideational,Germany,1,-0.16327318743983207,2.0,3.0,5.0
revolutionary rupture,Political + Ideational,Germany,2,-0.0399566778794402,2.0,3.0,5.0
