group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,cohort,phase
Business,Nobility & Kinship,Business + Nobility & Kinship,509,173,1,5.037950931598499,-1.88438977020053,-3.767474040802097,-0.5466530096098692,0.9915037028422815,0.0239880059970015,0.005780346820809248,-1.7228146642651823,0.8447358143802199,-3.3784968604504133,-0.06713246807995121,0.04140298740172691,0.06952773613193403,0.0724552279530221,not distinguishable,Italy,1425,pre
Business,Religion,Business + Religion,509,173,1,3.817054839141146,-1.525084918613878,-3.412153852807238,-0.19420990353119996,0.986226383552224,0.1774112943528236,0.005780346820809248,-1.8924104552168521,0.8441513866406472,-3.5469471730325206,-0.23787373740118367,0.024974923474479646,0.24837581209395304,0.04767939936037024,not distinguishable,Italy,1425,pre
Business,Learning & Culture,Business + Learning & Culture,509,173,17,8.555136789918308,0.9505465817721527,0.5544431499682432,1.3047105620281614,0.18947050318432748,0.0004997501249375312,0.09826589595375723,-0.06812669559910241,0.38184272527275964,-0.8165384371337113,0.6802850459355064,0.8583966056876833,0.002623688155922039,0.9486622279343495,associated,Italy,1425,pre
Nobility & Kinship,Religion,Nobility & Kinship + Religion,509,173,13,14.229880592532432,-0.1257863279680193,-0.8049384070833555,0.36819647306707004,0.30351511844754187,0.6546726636681659,0.07514450867052024,-1.0388930539664873,0.31096243195752515,-1.6483794206032365,-0.4294066873297381,0.0008350858566673916,0.723585575633236,0.0029228004983358705,not distinguishable,Italy,1425,pre
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,509,173,25,31.89332616471144,-0.3451993653824756,-0.7528070282978248,-0.058045770803145644,0.1773856576648076,0.050974512743628186,0.14450867052023122,-2.0630952773695195,0.2506887630761902,-2.5544452529988524,-1.5717453017401866,1.8767061517249426e-16,0.10704647676161919,1.97054145931119e-15,not distinguishable,Italy,1425,pre
Religion,Learning & Culture,Religion + Learning & Culture,509,173,33,24.16430342934923,0.4417365523375033,0.1721226156537038,0.7229350925937374,0.1405109114173088,0.00399800099950025,0.1907514450867052,-1.9003485981461827,0.2306949733717634,-2.352510745954839,-1.4481864503375266,1.7585425156339594e-16,0.01679160419790105,1.97054145931119e-15,associated,Italy,1425,pre
Politics,Administration & Law,Politics + Administration & Law,711,213,9,2.7153723836735977,1.5629416825875948,0.6490197719996235,2.166504038644916,0.3781538489756583,0.0024987506246876563,0.04225352112676056,1.447558734608652,0.40134115818233257,0.6609300645712802,2.2341874046460237,0.00030999211020416137,0.007496251874062969,0.0009299763306124841,associated,Italy,1450,pre
Politics,Military,Politics + Military,711,213,2,3.677933515667375,-0.7408614397914404,-3.1584220518119794,0.4419731402303193,0.9473190943495869,0.3363318340829585,0.009389671361502348,-0.423823137601474,0.6656015997248039,-1.7284022730620898,0.8807559978591417,0.5242864083404223,0.3923871397634516,0.5794744513236246,not distinguishable,Italy,1450,pre
Politics,Business,Politics + Business,711,213,5,2.528631709005928,0.8607654660224092,-0.5573980783778997,1.6681713105122455,0.5894308930832614,0.09395302348825588,0.023474178403755867,0.919793362425357,0.4889892643408591,-0.03862559568272683,1.878212320533441,0.05997065137212459,0.15177026871179794,0.09687566760112434,not distinguishable,Italy,1450,pre
Politics,Nobility & Kinship,Politics + Nobility & Kinship,711,213,14,9.290683775723949,0.566571374788119,-0.11146119948894764,1.0530034481882347,0.28977528882912545,0.05747126436781609,0.06572769953051644,0.34941336751028845,0.3218264538747281,-0.2813664820841785,0.9801932171047554,0.27760295820100256,0.109717868338558,0.32387011790116965,not distinguishable,Italy,1450,pre
Politics,Religion,Politics + Religion,711,213,4,8.594157053953383,-1.0150149178593164,-2.812612051935636,-0.11343821062601914,0.7281387774531348,0.111944027986007,0.018779342723004695,-1.2480422673604306,0.5007308585330333,-2.229474750085176,-0.2666097846356852,0.012686830250128789,0.1679160419790105,0.028403912776562533,not distinguishable,Italy,1450,pre
Politics,Learning & Culture,Politics + Learning & Culture,711,213,6,13.19322156241172,-1.074950281730947,-2.3972438537273217,-0.3279445748796519,0.5342252746463875,0.05147426286856572,0.028169014084507043,-2.649247771662142,0.42620960146610154,-3.484618590535701,-1.8138769527885832,5.105302878777375e-10,0.108095952023988,2.680284011358122e-09,not distinguishable,Italy,1450,pre
Administration & Law,Military,Administration & Law + Military,711,213,0,2.7901305856843965,-2.7181448458390953,-3.1882088125428014,-2.172834478651931,0.26361924255664276,0.0004997501249375312,0.0,-1.8182275361474018,1.4308547342859297,-4.622702815347823,0.9862477430530201,0.2038253409480585,0.0020989505247376314,0.26887935250463046,dissociated,Italy,1450,pre
Administration & Law,Business,Administration & Law + Business,711,213,2,1.9182545418982788,0.04796198636036861,-2.3670526849392983,1.1653231166364206,0.9551361730886607,0.9620189905047476,0.009389671361502348,0.2778940660856181,0.6777029865434139,-1.050403787539473,1.6061919197107093,0.6817671520829307,0.9620189905047476,0.7158555096870772,not distinguishable,Italy,1450,pre
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,711,213,0,7.04803957280492,-3.9161019867088607,-4.355385862382105,-3.395965715342986,0.24200958156801952,0.0004997501249375312,0.0,-3.1431205636642137,1.4259362527243213,-5.937955619003883,-0.34828550832454397,0.02750673865702504,0.0020989505247376314,0.052512864708865986,dissociated,Italy,1450,pre
Administration & Law,Religion,Administration & Law + Religion,711,213,8,6.51964489087824,0.2760647917927496,-0.7615611546012303,0.9204721001774911,0.4303593149320942,0.4777611194402799,0.03755868544600939,-0.13235849703769706,0.3960065007697522,-0.9085312385464114,0.6438142444710172,0.7382036368343848,0.5016491754122938,0.7382036368343848,not distinguishable,Italy,1450,pre
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,711,213,12,10.008558025366144,0.25036337728824926,-0.44597333297861913,0.7594946185737809,0.31006508502425817,0.3918040979510245,0.056338028169014086,-1.3893492384815394,0.3486089754524281,-2.0726228303682985,-0.7060756465947803,6.736408018197463e-05,0.4330466345774482,0.00023577428063691118,not distinguishable,Italy,1450,pre
Military,Business,Military + Business,711,213,0,2.598248665136649,-2.6314529393381214,-3.1415226293683407,-2.0411447963233433,0.2782439822431429,0.0004997501249375312,0.0,-1.6173243886410158,1.4326503094343528,-4.425318995132347,1.1906702178503155,0.2589384145744287,0.0020989505247376314,0.31986510035664717,dissociated,Italy,1450,pre
Military,Nobility & Kinship,Military + Nobility & Kinship,711,213,32,9.546469987110678,1.6937510452640219,1.3729077167173513,2.0181337041713205,0.1638276534200747,0.0004997501249375312,0.15023474178403756,2.279324193516933,0.3249961263117239,1.642331785945954,2.916316601087912,2.3261385208084177e-12,0.0020989505247376314,1.6282969645658925e-11,associated,Italy,1450,pre
Military,Religion,Military + Religion,711,213,3,8.830766858566175,-1.4146407332516135,-4.04335971550913,-0.4306512278540938,0.8505718217548955,0.06796601699150424,0.014084507042253521,-1.3892221044411996,0.5625246907204142,-2.4917704982532114,-0.2866737106291879,0.013525672750744063,0.11894052973513243,0.028403912776562533,not distinguishable,Italy,1450,pre
Military,Learning & Culture,Military + Learning & Culture,711,213,4,13.55645038828703,-1.643235416607039,-3.329042028266461,-0.7328081724457506,0.7162592528364768,0.02848575712143928,0.018779342723004695,-2.915935706263762,0.5018745324568555,-3.899609789879199,-1.932261622648325,6.243963539564066e-09,0.06646676661669165,2.6224646866169077e-08,not distinguishable,Italy,1450,pre
Business,Nobility & Kinship,Business + Nobility & Kinship,711,213,2,6.563334170030876,-1.49842125788548,-3.9262626091624244,-0.34092942241117097,0.9382003947246672,0.13843078460769614,0.009389671361502348,-1.2518217919553043,0.6636317957328942,-2.552540111591777,0.04889652768116837,0.059251873537389615,0.18169040479760118,0.09687566760112434,not distinguishable,Italy,1450,pre
Business,Religion,Business + Religion,711,213,3,6.071278069135319,-0.908819070207242,-3.495590761707371,0.09515948680847111,0.8221013411283563,0.21039480259870064,0.014084507042253521,-0.9841408268036151,0.5715729973082032,-2.104423901527693,0.13614224792046303,0.08510371287425408,0.259899462033689,0.12765556931138114,not distinguishable,Italy,1450,pre
Business,Learning & Culture,Business + Learning & Culture,711,213,17,9.320252845073032,0.8335228464134598,0.3300900516202532,1.2114161217830848,0.22430479775200143,0.0014992503748125937,0.07981220657276995,-0.4464906044254166,0.35217053704465223,-1.136744857032935,0.24376364818210178,0.20486045905114703,0.005247376311844077,0.26887935250463046,associated,Italy,1450,pre
Nobility & Kinship,Religion,Nobility & Kinship + Religion,711,213,17,22.3070542277582,-0.382125197303993,-0.9571716005222298,0.050364135114213754,0.25900885770692345,0.1344327836081959,0.07981220657276995,-0.9702733068174456,0.2719523648889511,-1.5032999419997897,-0.43724667163510156,0.0003599827267260731,0.18169040479760118,0.0009449546576559419,not distinguishable,Italy,1450,pre
Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,711,213,24,34.24441826975523,-0.5039994766270172,-0.9799276657340169,-0.16269452237958087,0.20881303525523423,0.022988505747126436,0.11267605633802817,-2.678493674170933,0.24085546074639588,-3.1505703772338687,-2.206416971107997,9.943114180072929e-29,0.06034482758620689,2.088053977815315e-27,not distinguishable,Italy,1450,pre
Religion,Learning & Culture,Religion + Learning & Culture,711,213,49,31.677098902078864,0.6213942671314098,0.39205647438272156,0.8749536945046654,0.12402058662837244,0.0004997501249375312,0.2300469483568075,-1.7340610894603352,0.19461762399787047,-2.1155116324961614,-1.352610546424509,5.098986840550997e-19,0.0020989505247376314,5.3539361825785476e-18,associated,Italy,1450,pre
Politics,Administration & Law,Politics + Administration & Law,743,220,6,3.275968621873609,0.7835929421212713,-0.49580506148870934,1.5287473876586906,0.5208841219835665,0.1054472763618191,0.02727272727272727,0.43340220365941845,0.44081615064253443,-0.43059745159994905,1.297401858918786,0.32551820811652277,0.16021989005497253,0.4272426481529361,not distinguishable,Italy,1475,pre
Politics,Military,Politics + Military,743,220,4,3.275968621873609,0.25307822542249137,-1.4886348098909108,1.1457287820152635,0.6882764468918084,0.6541729135432284,0.01818181818181818,0.07859631304995665,0.5129053976441796,-0.9266982663326354,1.0838908924325488,0.8782110289311257,0.7099700149925037,0.9445025804598168,not distinguishable,Italy,1475,pre
Politics,Business,Politics + Business,743,220,2,1.4489727459244253,0.359214178531986,-2.08361449057568,1.4592604467782553,0.9553269486026021,0.6761619190404797,0.00909090909090909,0.08550313325385245,0.6771999102024747,-1.241808690742998,1.412814957250703,0.8995262671045875,0.7099700149925037,0.9445025804598168,not distinguishable,Italy,1475,pre
Politics,Nobility & Kinship,Politics + Nobility & Kinship,743,220,13,9.125449999026786,0.48803351251391935,-0.1885472281683853,1.0097187323407772,0.3148300978557047,0.11444277861069466,0.05909090909090909,0.06425967691107033,0.3209962755067322,-0.5648930230821247,0.6934123769042655,0.8413333703024006,0.16021989005497253,0.9445025804598168,not distinguishable,Italy,1475,pre
Politics,Religion,Politics + Religion,743,220,1,6.442063083137987,-2.210401974401731,-4.061254502130437,-0.8348281816348225,1.0009396007413114,0.0009995002498750624,0.004545454545454545,-2.5119969899364745,0.8312643889916768,-4.141275192360161,-0.882718787512788,0.0025119438210491106,0.0034982508745627187,0.006593852530253915,dissociated,Italy,1475,pre
Politics,Learning & Culture,Politics + Learning & Culture,743,220,10,12.431576928548102,-0.30050888602533615,-1.213485813104769,0.27285538177254953,0.37849703764305076,0.3953023488255872,0.045454545454545456,-2.3580227490490344,0.3473048160809584,-3.0387401885677128,-1.677305309530356,1.1253024138226973e-11,0.4780942861902382,5.907837672569161e-11,not distinguishable,Italy,1475,pre
Administration & Law,Military,Administration & Law + Military,743,220,0,3.9767313148384837,-3.1624457329427553,-3.6099930500530726,-2.643808034747848,0.2548724737237023,0.0004997501249375312,0.0,-2.0686021210647794,1.4287127693496169,-4.868879148990029,0.7316749068604698,0.14765110800723083,0.0020989505247376314,0.22147666201084623,dissociated,Italy,1475,pre
Administration & Law,Business,Administration & Law + Business,743,220,0,1.7589226143959937,-2.175634848092906,-2.6788507330472933,-1.5483103769394704,0.28776410244217826,0.0004997501249375312,0.0,-1.4305664453145337,1.4346728190448252,-4.242525170642391,1.3813922800133238,0.3186976453380238,0.0020989505247376314,0.4272426481529361,dissociated,Italy,1475,pre
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,743,220,2,11.077475690950843,-2.2113207278400093,-4.589977431534587,-1.0668904181582366,0.9224040035928532,0.05647176411794103,0.00909090909090909,-1.6996428378140185,0.6545366212108087,-2.9825346153872037,-0.4167510602408335,0.009412091300021018,0.0988255872063968,0.019765391730044136,not distinguishable,Italy,1475,pre
Administration & Law,Religion,Administration & Law + Religion,743,220,16,7.820085279152645,0.9877958035906335,0.41421011837286814,1.4375420917934503,0.25936578231487173,0.0024987506246876563,0.07272727272727272,0.5734824702378458,0.31134224774327207,-0.036748335338967375,1.1837132758146591,0.06547982474687884,0.006559220389805098,0.11458969330703798,associated,Italy,1475,pre
Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,743,220,19,15.090816479281957,0.3227776411112947,-0.2098474133335186,0.7141238180014284,0.23498988410035723,0.15892053973013492,0.08636363636363636,-1.1646195772170849,0.2957927317008473,-1.7443733313507455,-0.5848658230834242,8.240953300227508e-05,0.20858320839580208,0.00028843336550796276,not distinguishable,Italy,1475,pre
Military,Business,Military + Business,743,220,0,1.7589226143959937,-2.175634848092906,-2.688310243971402,-1.5621469891524007,0.28515419493907584,0.0004997501249375312,0.0,-1.3453245463643322,1.4352170768691137,-4.158350017027795,1.4677009242991308,0.34857001724665004,0.0020989505247376314,0.43058649189292064,dissociated,Italy,1475,pre
Military,Nobility & Kinship,Military + Nobility & Kinship,743,220,31,11.077475690950843,1.4440311007725446,1.1221345767371436,1.781379888784502,0.16646347359366437,0.0004997501249375312,0.1409090909090909,2.1715821467228817,0.314736888822857,1.554697844630082,2.788466448815681,5.2121757084908535e-12,0.0020989505247376314,3.6485229959435975e-11,associated,Italy,1475,pre
Military,Religion,Military + Religion,743,220,1,7.820085279152645,-2.4716358150466635,-4.315940804896182,-1.0723634578730517,1.013161474645159,0.0004997501249375312,0.004545454545454545,-2.209415697472457,0.8342663274837501,-3.844577699340607,-0.574253695604307,0.008088961648402011,0.0020989505247376314,0.018874243846271357,dissociated,Italy,1475,pre
